depth(m),cone penetration resistance (qc (MPa)),sleeve friction(kPa),total cone resistance (tc(Mpa)),friction ratio (%),bulk density (kN/m³),effective vertical stress(kPa),pore water pressure (kPa),total vertical stress (kPa),normalised cone resistance(-),normalised cone resistance corrected for overburden (-),normalised friction ratio (%),void ratio,Soil Class
4.14,2.7,3,5.92,0.05,19,78.66,40.61,38.05,153.49,89.42,0.05,0.45,Class 2: Sand to silty sand
4.14,0.19,18.9,0.19,9.8,19,78.66,40.61,38.05,3,3,16.56,1,Class 6: Organic soil / peat
4.15,0.05,10.3,0.05,20.52,19,78.85,40.71,38.14,-0.75,-0.57,-35.95,1,Class 1: Gravelly sand to dense sand
4.15,0.19,18.9,0.19,9.99,19,78.85,40.71,38.14,2.89,2.89,17.13,1,Class 6: Organic soil / peat
4.16,0.06,10.5,0.06,18.29,19,79.04,40.81,38.23,-0.57,-0.43,-48.52,1,Class 1: Gravelly sand to dense sand
4.16,2.9,4,5.97,0.06,19,79.04,40.81,38.23,154,89.85,0.06,0.45,Class 2: Sand to silty sand
4.16,0.19,18.9,0.19,10.18,19,79.04,40.81,38.23,2.79,2.79,17.74,1,Class 6: Organic soil / peat
4.17,0.05,10.7,0.05,19.89,19,79.23,40.91,38.32,-0.66,-0.5,-42.08,1,Class 1: Gravelly sand to dense sand
4.17,0.18,18.9,0.18,10.37,19,79.23,40.91,38.32,2.68,2.68,18.36,1,Class 6: Organic soil / peat
4.18,0.06,10.7,0.06,19.24,19,79.42,41.01,38.41,-0.62,-0.47,-44.92,1,Class 1: Gravelly sand to dense sand
4.18,2.85,3,6.03,0.06,19,79.42,41.01,38.41,154.95,90.53,0.06,0.45,Class 2: Sand to silty sand
4.18,0.18,18.8,0.17,10.75,19,79.42,41.01,38.41,2.48,2.48,19.7,1,Class 6: Organic soil / peat
4.19,0.06,10.9,0.06,18.99,19,79.61,41.1,38.51,-0.58,-0.44,-49.08,1,Class 1: Gravelly sand to dense sand
4.19,0.17,18.7,0.17,11.23,19,79.61,41.1,38.51,2.26,2.26,21.53,1,Class 6: Organic soil / peat
4.2,0.06,11.1,0.06,18.2,19,79.8,41.2,38.6,-0.49,-0.37,-59.04,1,Class 1: Gravelly sand to dense sand
4.2,2.85,4,6.05,0.08,19,79.8,41.2,38.6,154.59,90.68,0.08,0.45,Class 2: Sand to silty sand
4.2,0.16,18.6,0.16,11.63,19,79.8,41.2,38.6,2.06,2.06,23.31,1,Class 6: Organic soil / peat
4.21,0.08,11.3,0.08,15.01,19,79.99,41.3,38.69,-0.12,-0.09,,1,Class 1: Gravelly sand to dense sand
4.21,0.15,18.3,0.16,11.82,19,79.99,41.3,38.69,1.94,1.94,24.41,1,Class 6: Organic soil / peat
4.22,0.08,11.5,0.08,14.58,19,80.18,41.4,38.78,-0.03,-0.03,,1,Class 1: Gravelly sand to dense sand
4.22,2.9,7,6.13,0.08,19,80.18,41.4,38.78,155.95,91.57,0.08,0.45,Class 2: Sand to silty sand
4.22,0.15,18.1,0.15,11.85,19,80.18,41.4,38.78,1.88,1.88,24.9,1,Class 6: Organic soil / peat
4.23,0.08,11.7,0.08,14.5,19,80.37,41.5,38.87,0.01,0.01,3545.45,1,Class 6: Organic soil / peat
4.23,0.15,18,0.15,11.64,19,80.37,41.5,38.87,1.88,1.88,24.45,1,Class 6: Organic soil / peat
4.24,3.05,3,6.28,0.07,19,80.56,41.59,38.97,159.01,93.27,0.07,0.44,Class 2: Sand to silty sand
4.24,0.08,12.6,0.08,15.27,19,80.56,41.59,38.97,0.05,0.04,649.48,1,Class 6: Organic soil / peat
4.24,0.16,17.5,0.16,11.32,19,80.56,41.59,38.97,1.93,1.93,23.43,1,Class 6: Organic soil / peat
4.25,0.09,12.8,0.09,13.73,19,80.75,41.69,39.06,0.32,0.25,102.81,1,Class 6: Organic soil / peat
4.25,0.16,17.4,0.16,10.79,19,80.75,41.69,39.06,2.07,2.07,21.58,1,Class 6: Organic soil / peat
4.26,3.25,3,6.36,0.12,19,80.94,41.79,39.15,160.34,94.93,0.12,0.45,Class 2: Sand to silty sand
4.26,0.1,13.1,0.1,12.6,19,80.94,41.79,39.15,0.59,0.46,56.81,1,Class 6: Organic soil / peat
4.26,0.17,17.4,0.17,10.1,19,80.94,41.79,39.15,2.32,2.32,19.1,1,Class 6: Organic soil / peat
4.27,0.11,14,0.11,12.21,19,81.13,41.89,39.24,0.86,0.66,41.7,1,Class 6: Organic soil / peat
4.27,0.19,17.3,0.19,9.34,19,81.13,41.89,39.24,2.66,2.66,16.59,1,Class 6: Organic soil / peat
4.28,3.1,16,6.37,0.13,19,81.32,41.99,39.33,159.97,95.29,0.13,0.45,Class 2: Sand to silty sand
4.28,0.13,14.2,0.13,11.31,19,81.32,41.99,39.33,1.12,0.87,32.14,1,Class 6: Organic soil / peat
4.28,0.2,17.3,0.2,8.47,19,81.32,41.99,39.33,3.11,3.11,14.1,1,Class 6: Organic soil / peat
4.29,0.13,14.4,0.13,10.85,19,81.51,42.08,39.43,1.3,1.01,28.13,1,Class 6: Organic soil / peat
4.29,0.22,17.1,0.22,7.84,19,81.51,42.08,39.43,3.49,3.49,12.48,1,Class 6: Organic soil / peat
4.3,3.05,6,6.36,0.15,19,81.7,42.18,39.52,158.75,95.23,0.15,0.46,Class 2: Sand to silty sand
4.3,0.14,14.9,0.14,10.94,19,81.7,42.18,39.52,1.38,1.08,27.34,1,Class 6: Organic soil / peat
4.3,0.23,17.1,0.23,7.27,19,81.7,42.18,39.52,3.84,3.84,11.18,1,Class 6: Organic soil / peat
4.31,0.14,15.5,0.14,10.81,19,81.89,42.28,39.61,1.55,1.21,25.2,1,Class 6: Organic soil / peat
4.31,0.24,16.7,0.24,6.91,19,81.89,42.28,39.61,4.07,4.07,10.43,1,Class 6: Organic soil / peat
4.32,3.15,6,6.45,0.09,19,82.08,42.38,39.7,160.48,95.22,0.09,0.44,Class 2: Sand to silty sand
4.32,0.15,15.5,0.15,10.29,19,82.08,42.38,39.7,1.73,1.35,22.62,1,Class 6: Organic soil / peat
4.32,0.25,16.6,0.25,6.68,19,82.08,42.38,39.7,4.2,4.2,9.97,1,Class 6: Organic soil / peat
4.33,0.15,15.6,0.15,10.61,19,82.27,42.48,39.79,1.63,1.28,24.1,1,Class 6: Organic soil / peat
4.33,0.25,16.6,0.25,6.61,19,82.27,42.48,39.79,4.25,4.25,9.82,1,Class 6: Organic soil / peat
4.34,3.35,6,6.65,0.09,19,82.46,42.58,39.88,164.71,97.57,0.09,0.44,Class 2: Sand to silty sand
4.34,0.15,15.7,0.15,10.42,19,82.46,42.58,39.88,1.71,1.34,23.04,1,Class 6: Organic soil / peat
4.34,0.25,16.6,0.25,6.7,19,82.46,42.58,39.88,4.14,4.14,10.04,1,Class 6: Organic soil / peat
4.35,0.15,15.6,0.15,10.12,19,82.65,42.67,39.98,1.79,1.41,21.8,1,Class 6: Organic soil / peat
4.35,0.24,16.6,0.24,6.81,19,82.65,42.67,39.98,4.04,4.04,10.3,1,Class 6: Organic soil / peat
4.36,3.6,6,6.88,0.09,19,82.84,42.77,40.07,169.72,100.32,0.09,0.43,Class 2: Sand to silty sand
4.36,0.16,15.6,0.16,9.67,19,82.84,42.77,40.07,1.96,1.55,19.88,1,Class 6: Organic soil / peat
4.36,0.24,16.7,0.24,6.94,19,82.84,42.77,40.07,3.93,3.93,10.59,1,Class 6: Organic soil / peat
4.37,0.16,15.6,0.16,9.89,19,83.03,42.87,40.16,1.86,1.48,20.86,1,Class 6: Organic soil / peat
4.37,0.24,16.7,0.24,6.97,19,83.03,42.87,40.16,3.91,3.91,10.66,1,Class 6: Organic soil / peat
4.38,3.8,6,7.1,0.08,19,83.22,42.97,40.25,174.28,102.84,0.09,0.43,Class 2: Sand to silty sand
4.38,0.15,15.4,0.15,9.99,19,83.22,42.97,40.25,1.76,1.4,21.7,1,Class 6: Organic soil / peat
4.38,0.24,16.8,0.24,7.02,19,83.22,42.97,40.25,3.89,3.89,10.74,1,Class 6: Organic soil / peat
4.39,0.15,15.4,0.15,9.99,19,83.41,43.07,40.34,1.75,1.4,21.75,1,Class 6: Organic soil / peat
4.39,0.24,17,0.25,6.85,19,83.41,43.07,40.34,4.04,4.04,10.35,1,Class 6: Organic soil / peat
4.4,3.95,6,7.18,0.08,19,83.6,43.16,40.44,175.5,103.69,0.08,0.43,Class 2: Sand to silty sand
4.4,0.15,15.4,0.15,10.48,19,83.6,43.16,40.44,1.57,1.25,24.29,1,Class 6: Organic soil / peat
4.41,0.15,15.3,0.15,10.41,19,83.79,43.26,40.53,1.56,1.25,24.21,1,Class 6: Organic soil / peat
4.42,3.8,6,7.21,0.08,19,83.98,43.36,40.62,175.47,103.92,0.08,0.43,Class 2: Sand to silty sand
4.42,0.15,15.3,0.15,10.41,19,83.98,43.36,40.62,1.55,1.24,24.28,1,Class 6: Organic soil / peat
4.43,0.15,15.2,0.15,10.22,19,84.17,43.46,40.71,1.59,1.28,23.52,1,Class 6: Organic soil / peat
4.44,3.85,6,7.18,0.09,19,84.36,43.56,40.8,173.82,103.47,0.09,0.43,Class 2: Sand to silty sand
4.44,0.15,15.1,0.15,10.03,19,84.36,43.56,40.8,1.62,1.31,22.8,1,Class 6: Organic soil / peat
4.45,0.16,15,0.16,9.51,19,84.55,43.65,40.9,1.79,1.45,20.48,1,Class 6: Organic soil / peat
4.46,3.8,8,7.13,0.11,19,84.74,43.75,40.99,171.77,102.95,0.11,0.43,Class 2: Sand to silty sand
4.46,0.17,15.1,0.17,8.96,19,84.74,43.75,40.99,2.04,1.65,18.03,1,Class 6: Organic soil / peat
4.47,0.18,15.1,0.18,8.26,19,84.93,43.85,41.08,2.38,1.93,15.41,1,Class 6: Organic soil / peat
4.48,3.6,9,7.07,0.1,19,85.12,43.95,41.17,169.74,102.03,0.1,0.43,Class 2: Sand to silty sand
4.48,0.17,15.4,0.17,8.95,19,85.12,43.95,41.17,2.11,1.72,17.71,1,Class 6: Organic soil / peat
4.49,0.17,15.7,0.17,9.42,19,85.31,44.05,41.26,1.97,1.61,19.29,1,Class 6: Organic soil / peat
4.5,3.65,5,6.96,0.1,19,85.5,44.15,41.36,166.11,100.2,0.1,0.44,Class 2: Sand to silty sand
4.5,0.17,15.8,0.17,9.54,19,85.5,44.15,41.36,1.94,1.58,19.73,1,Class 6: Organic soil / peat
4.5,0.22,13.8,0.23,6.16,19,85.5,44.15,41.36,3.37,3.37,9.94,1,Class 6: Organic soil / peat
4.51,0.17,15.9,0.17,9.62,19,85.69,44.24,41.45,1.92,1.57,19.97,1,Class 6: Organic soil / peat
4.51,0.2,13.9,0.2,6.98,19,85.69,44.24,41.45,2.73,2.73,12.27,1,Class 6: Organic soil / peat
4.52,3.4,6,6.87,0.08,19,85.88,44.34,41.54,163.32,98.73,0.08,0.44,Class 2: Sand to silty sand
4.52,0.17,15.9,0.17,9.43,19,85.88,44.34,41.54,1.99,1.63,19.2,1,Class 6: Organic soil / peat
4.52,0.18,13.9,0.18,7.53,19,85.88,44.34,41.54,2.39,2.39,14.06,1,Class 6: Organic soil / peat
4.53,0.17,15.8,0.17,9.18,19,86.07,44.44,41.63,2.07,1.7,18.37,1,Class 6: Organic soil / peat
4.53,0.18,14,0.18,7.94,19,86.07,44.44,41.63,2.22,2.22,15.34,1,Class 6: Organic soil / peat
4.54,3.3,6,6.77,0.11,19,86.26,44.54,41.72,160.15,97.74,0.11,0.44,Class 2: Sand to silty sand
4.54,0.17,15.8,0.17,9.33,19,86.26,44.54,41.72,1.99,1.64,19,1,Class 6: Organic soil / peat
4.54,0.18,14.6,0.18,8.18,19,86.26,44.54,41.72,2.2,2.2,15.86,1,Class 6: Organic soil / peat
4.55,0.17,15.4,0.17,8.92,19,86.45,44.64,41.81,2.06,1.7,17.88,1,Class 6: Organic soil / peat
4.55,0.18,15.1,0.18,8.58,19,86.45,44.64,41.81,2.21,2.21,16.62,1,Class 6: Organic soil / peat
4.56,3.3,10,6.65,0.11,19,86.64,44.73,41.91,156.62,96.1,0.11,0.45,Class 2: Sand to silty sand
4.56,0.18,14.3,0.18,8.13,19,86.64,44.73,41.91,2.13,1.76,16.02,1,Class 6: Organic soil / peat
4.56,0.18,16.3,0.18,8.91,19,86.64,44.73,41.91,2.21,2.21,17.23,1,Class 6: Organic soil / peat
4.57,0.18,14.2,0.18,7.76,19,86.83,44.83,42,2.29,1.9,14.78,1,Class 6: Organic soil / peat
4.57,0.18,16.5,0.18,9.13,19,86.83,44.83,42,2.29,2.29,17.36,1,Class 6: Organic soil / peat
4.58,3,6,6.53,0.11,19,87.02,44.93,42.09,153.12,94.46,0.11,0.45,Class 2: Sand to silty sand
4.58,0.19,14.1,0.19,7.42,19,87.02,44.93,42.09,2.45,2.03,13.69,1,Class 6: Organic soil / peat
4.58,0.19,17.4,0.19,9.06,19,87.02,44.93,42.09,2.43,2.43,16.77,1,Class 6: Organic soil / peat
4.59,0.21,12.2,0.21,5.87,19,87.21,45.03,42.18,2.86,2.38,10.11,1,Class 6: Organic soil / peat
4.59,0.2,17.5,0.2,8.91,19,87.21,45.03,42.18,2.62,2.62,15.95,1,Class 6: Organic soil / peat
4.6,2.9,6,6.46,0.09,19,87.4,45.13,42.27,150.82,92.99,0.09,0.45,Class 2: Sand to silty sand
4.6,0.23,10.3,0.23,4.56,19,87.4,45.13,42.27,3.28,2.73,7.44,1,Class 6: Organic soil / peat
4.6,0.2,17.9,0.2,8.73,19,87.4,45.13,42.27,2.75,2.75,15.3,1,Class 6: Organic soil / peat
4.61,0.21,17.9,0.21,8.74,19,87.59,45.22,42.37,2.79,2.79,15.21,1,Class 6: Organic soil / peat
4.62,3.05,5,6.51,0.1,19,87.78,45.32,42.46,151.3,93.61,0.1,0.45,Class 2: Sand to silty sand
4.62,0.68,6,0.68,0.88,19,87.78,45.32,42.46,14.06,11.78,1,0.9,Class 4: Clayey silt to silty clay
4.62,0.2,18.2,0.2,8.87,19,87.78,45.32,42.46,2.75,2.75,15.54,1,Class 6: Organic soil / peat
4.63,0.2,18.4,0.2,9.08,19,87.97,45.42,42.55,2.69,2.69,16.06,1,Class 6: Organic soil / peat
4.64,3.1,8,6.59,0.11,19,88.16,45.52,42.64,152.55,94.65,0.11,0.45,Class 2: Sand to silty sand
4.64,0.2,18.5,0.2,9.35,19,88.16,45.52,42.64,2.56,2.56,16.88,1,Class 6: Organic soil / peat
4.65,0.19,18.5,0.19,9.6,19,88.35,45.62,42.73,2.44,2.44,17.72,1,Class 6: Organic soil / peat
4.66,3.1,8,6.63,0.1,19,88.54,45.71,42.83,152.63,94.79,0.1,0.45,Class 2: Sand to silty sand
4.66,4.13,35.7,4.12,0.87,19,88.54,34.92,53.62,75.24,60.53,0.88,0.66,Class 3: Silty sand to sandy silt
4.66,0.19,18.5,0.19,9.97,19,88.54,45.71,42.83,2.27,2.27,19.06,1,Class 6: Organic soil / peat
4.67,4.11,35.2,4.1,0.86,19,88.73,35.02,53.71,74.68,60.11,0.88,0.66,Class 3: Silty sand to sandy silt
4.67,0.18,18.5,0.18,10.16,19,88.73,45.81,42.92,2.17,2.17,19.83,1,Class 6: Organic soil / peat
4.68,3.1,4,6.69,0.07,19,88.92,45.91,43.01,153.48,95.08,0.08,0.44,Class 2: Sand to silty sand
4.68,4.09,35,4.08,0.86,19,88.92,35.12,53.8,74.18,59.78,0.88,0.66,Class 3: Silty sand to sandy silt
4.68,0.18,18.5,0.18,10.51,19,88.92,45.91,43.01,2.03,2.03,21.24,1,Class 6: Organic soil / peat
4.69,4.07,35,4.06,0.86,19,89.11,35.22,53.89,73.77,59.52,0.88,0.66,Class 3: Silty sand to sandy silt
4.69,0.17,18.5,0.17,10.92,19,89.11,46.01,43.1,1.85,1.85,23.11,1,Class 6: Organic soil / peat
4.7,3.25,3,6.84,0.05,19,89.3,46.11,43.19,156.25,96.77,0.05,0.44,Class 2: Sand to silty sand
4.7,4.03,34.9,4.02,0.87,19,89.3,35.32,53.98,72.85,58.89,0.89,0.66,Class 3: Silty sand to sandy silt
4.7,0.16,18.3,0.16,11.6,19,89.3,46.11,43.19,1.57,1.57,26.91,1,Class 6: Organic soil / peat
4.71,3.99,34.6,3.99,0.87,19,89.49,35.41,54.08,72.08,58.35,0.89,0.66,Class 3: Silty sand to sandy silt
4.71,0.14,17.8,0.15,12.25,19,89.49,46.21,43.28,1.31,1.31,31.58,1,Class 6: Organic soil / peat
4.72,3.5,3,6.99,0.05,19,89.68,46.3,43.38,159,98.49,0.05,0.44,Class 2: Sand to silty sand
4.72,3.97,34.2,3.96,0.86,19,89.68,35.51,54.17,71.52,57.95,0.88,0.66,Class 3: Silty sand to sandy silt
4.72,0.14,17.6,0.14,12.65,19,89.68,46.3,43.38,1.11,1.11,36.23,1,Class 6: Organic soil / peat
4.73,3.93,34.3,3.92,0.87,19,89.87,35.61,54.26,70.61,57.35,0.9,0.67,Class 3: Silty sand to sandy silt
4.73,0.13,16.9,0.13,12.65,19,89.87,46.4,43.47,1.01,1.01,38.65,1,Class 6: Organic soil / peat
4.74,3.5,4,7.2,0.05,19,90.06,46.5,43.56,163.26,101.04,0.05,0.43,Class 2: Sand to silty sand
4.74,3.86,34.3,3.85,0.89,19,90.06,35.71,54.35,69.21,56.38,0.91,0.67,Class 3: Silty sand to sandy silt
4.74,0.13,16.2,0.13,12.26,19,90.06,46.5,43.56,0.96,0.96,38.67,1,Class 6: Organic soil / peat
4.75,3.83,33.9,3.82,0.89,19,90.25,35.81,54.44,68.52,55.88,0.91,0.67,Class 3: Silty sand to sandy silt
4.75,0.13,15.4,0.13,11.69,19,90.25,46.6,43.65,0.94,0.94,37.31,1,Class 6: Organic soil / peat
4.76,3.85,3,7.43,0.06,19,90.44,46.7,43.74,167.86,103.65,0.06,0.43,Class 2: Sand to silty sand
4.76,3.79,33.5,3.79,0.88,19,90.44,35.9,54.54,67.76,55.33,0.91,0.67,Class 3: Silty sand to sandy silt
4.76,0.13,14.5,0.13,11.03,19,90.44,46.7,43.74,0.95,0.95,35.02,1,Class 6: Organic soil / peat
4.77,3.77,33.1,3.77,0.88,19,90.63,36,54.63,67.29,54.99,0.9,0.67,Class 3: Silty sand to sandy silt
4.77,0.13,13.8,0.13,10.2,19,90.63,46.79,43.84,1.01,1.01,31.05,1,Class 6: Organic soil / peat
4.78,4.15,7,7.67,0.07,19,90.82,46.89,43.93,172.42,106.39,0.07,0.42,Class 2: Sand to silty sand
4.78,3.74,33.3,3.74,0.89,19,90.82,36.1,54.72,66.67,54.6,0.91,0.68,Class 3: Silty sand to sandy silt
4.78,0.14,13,0.14,9.68,19,90.82,46.89,43.93,1.07,1.07,28.38,1,Class 6: Organic soil / peat
4.79,3.74,32.8,3.74,0.88,19,91.01,36.2,54.81,66.49,54.44,0.9,0.67,Class 3: Silty sand to sandy silt
4.79,0.14,13.2,0.14,9.09,19,91.01,46.99,44.02,1.17,1.17,25.13,1,Class 6: Organic soil / peat
4.8,4.15,6,7.76,0.08,19,91.2,47.09,44.11,173.92,107.53,0.08,0.42,Class 2: Sand to silty sand
4.8,3.73,32.9,3.73,0.88,19,91.2,36.3,54.9,66.23,54.3,0.9,0.68,Class 3: Silty sand to sandy silt
4.8,0.15,12.7,0.15,8.69,19,91.2,47.09,44.11,1.27,1.27,22.79,1,Class 6: Organic soil / peat
4.81,3.73,32.7,3.72,0.88,19,91.39,36.4,54.99,65.98,54.12,0.9,0.68,Class 3: Silty sand to sandy silt
4.81,0.15,12.5,0.16,8.01,19,91.39,47.19,44.2,1.46,1.46,19.38,1,Class 6: Organic soil / peat
4.82,4.1,5,7.78,0.07,19,91.58,47.28,44.3,173.53,107.46,0.07,0.42,Class 2: Sand to silty sand
4.82,3.72,32.8,3.71,0.88,19,91.58,36.49,55.09,65.73,53.97,0.91,0.68,Class 3: Silty sand to sandy silt
4.82,0.17,12.2,0.17,7.39,19,91.58,47.28,44.3,1.69,1.69,16.42,1,Class 6: Organic soil / peat
4.83,3.73,32.6,3.72,0.88,19,91.77,36.59,55.18,65.75,54,0.9,0.68,Class 3: Silty sand to sandy silt
4.83,0.18,12.2,0.18,6.84,19,91.77,47.38,44.39,1.95,1.95,14.08,1,Class 6: Organic soil / peat
4.84,4.15,5,7.74,0.08,19,91.96,47.48,44.48,172.02,106.96,0.08,0.42,Class 2: Sand to silty sand
4.84,3.71,32.7,3.71,0.88,19,91.96,36.69,55.27,65.43,53.8,0.9,0.68,Class 3: Silty sand to sandy silt
4.84,0.19,12.2,0.19,6.37,19,91.96,47.48,44.48,2.24,2.24,12.25,1,Class 6: Organic soil / peat
4.85,3.71,32.5,3.7,0.88,19,92.15,36.79,55.36,65.25,53.67,0.9,0.68,Class 3: Silty sand to sandy silt
4.85,0.2,12.2,0.21,5.89,19,92.15,47.58,44.57,2.58,2.58,10.61,1,Class 6: Organic soil / peat
4.86,4,8,7.71,0.09,19,92.34,47.68,44.66,170.52,106.57,0.09,0.43,Class 2: Sand to silty sand
4.86,3.71,32.3,3.7,0.87,19,92.34,36.89,55.45,65.07,53.55,0.9,0.68,Class 3: Silty sand to sandy silt
4.86,0.23,12.2,0.23,5.48,19,92.34,47.68,44.66,2.97,2.97,9.29,1,Class 6: Organic soil / peat
4.87,3.67,32.3,3.67,0.88,19,92.53,36.98,55.55,64.33,53.04,0.9,0.68,Class 3: Silty sand to sandy silt
4.87,0.24,12.6,0.24,5.25,19,92.53,47.77,44.76,3.28,3.28,8.56,1,Class 6: Organic soil / peat
4.88,3.95,8,7.64,0.1,19,92.72,47.87,44.85,168.29,105.83,0.11,0.43,Class 2: Sand to silty sand
4.88,3.65,32.2,3.65,0.88,19,92.72,37.08,55.64,63.87,52.73,0.91,0.68,Class 3: Silty sand to sandy silt
4.88,0.25,12.9,0.25,5.1,19,92.72,47.87,44.85,3.51,3.51,8.11,1,Class 6: Organic soil / peat
4.89,3.64,32.2,3.64,0.88,19,92.91,37.18,55.73,63.62,52.57,0.91,0.68,Class 3: Silty sand to sandy silt
4.89,0.26,12.8,0.25,5.13,19,92.91,47.97,44.94,3.6,3.6,8.07,1,Class 6: Organic soil / peat
4.9,3.9,8,7.57,0.1,19,93.1,48.07,45.03,166.08,104.75,0.1,0.43,Class 2: Sand to silty sand
4.9,3.63,32.1,3.63,0.89,19,93.1,37.28,55.82,63.31,52.36,0.91,0.68,Class 3: Silty sand to sandy silt
4.9,0.26,13.5,0.26,5.2,19,93.1,48.07,45.03,3.67,3.67,8.12,1,Class 6: Organic soil / peat
4.91,3.62,32,3.62,0.89,19,93.29,37.38,55.91,62.99,52.15,0.91,0.68,Class 3: Silty sand to sandy silt
4.91,0.26,14,0.26,5.4,19,93.29,48.17,45.12,3.66,3.66,8.45,1,Class 6: Organic soil / peat
4.92,3.75,7,7.5,0.1,19,93.48,48.27,45.21,163.88,103.77,0.1,0.43,Class 2: Sand to silty sand
4.92,3.62,31.9,3.61,0.88,19,93.48,37.47,56.01,62.85,52.06,0.91,0.68,Class 3: Silty sand to sandy silt
4.92,0.26,14.4,0.26,5.54,19,93.48,48.27,45.21,3.66,3.66,8.66,1,Class 6: Organic soil / peat
4.93,3.62,31.7,3.61,0.88,19,93.67,37.57,56.1,62.71,51.96,0.9,0.68,Class 3: Silty sand to sandy silt
4.93,0.26,14.6,0.26,5.7,19,93.67,48.36,45.31,3.67,3.67,8.91,1,Class 6: Organic soil / peat
4.94,3.7,8,7.45,0.08,19,93.86,48.46,45.4,162.07,102.67,0.09,0.43,Class 2: Sand to silty sand
4.94,3.61,30.6,3.6,0.85,19,93.86,37.67,56.19,62.47,51.71,0.87,0.68,Class 3: Silty sand to sandy silt
4.94,0.26,15.5,0.26,5.92,19,93.86,48.46,45.4,3.74,3.74,9.19,1,Class 6: Organic soil / peat
4.95,3.6,30.6,3.59,0.85,19,94.05,37.77,56.28,62.16,51.51,0.87,0.68,Class 3: Silty sand to sandy silt
4.95,0.27,16.7,0.27,6.05,19,94.05,48.56,45.49,3.9,3.9,9.25,1,Class 6: Organic soil / peat
4.96,3.7,4,7.47,0.07,19,94.24,48.66,45.58,161.74,102.54,0.07,0.43,Class 2: Sand to silty sand
4.96,3.59,30.2,3.58,0.84,19,94.24,37.87,56.37,61.85,51.27,0.87,0.68,Class 3: Silty sand to sandy silt
4.97,3.52,30.3,3.51,0.86,19,94.43,37.96,56.47,60.58,50.38,0.89,0.68,Class 3: Silty sand to sandy silt
4.98,3.75,4,7.47,0.06,19,94.62,48.85,45.77,161.04,102.31,0.06,0.43,Class 2: Sand to silty sand
4.98,3.48,30.4,3.48,0.87,19,94.62,38.06,56.56,59.86,49.89,0.9,0.69,Class 3: Silty sand to sandy silt
4.99,3.43,30.4,3.43,0.89,19,94.81,38.16,56.65,58.87,49.18,0.91,0.69,Class 3: Silty sand to sandy silt
5,3.65,6,7.46,0.07,19,95,49.05,45.95,160.36,102.19,0.07,0.43,Class 2: Sand to silty sand
5,3.39,30.7,3.38,0.91,19,95,38.26,56.74,57.95,48.55,0.93,0.69,Class 3: Silty sand to sandy silt
5.01,3.27,30.7,3.28,0.94,19,95.19,38.36,56.83,56.03,47.16,0.96,0.7,Class 3: Silty sand to sandy silt
5.02,3.65,6,7.41,0.08,19,95.38,49.25,46.13,158.59,101.45,0.08,0.43,Class 2: Sand to silty sand
5.02,3.16,30.6,3.17,0.97,19,95.38,38.46,56.92,53.92,45.61,1,0.71,Class 3: Silty sand to sandy silt
5.03,3.14,30.4,3.14,0.97,19,95.57,38.55,57.02,53.42,45.24,1,0.71,Class 3: Silty sand to sandy silt
5.04,3.55,5,7.39,0.07,19,95.76,49.44,46.32,157.56,100.99,0.07,0.43,Class 2: Sand to silty sand
5.04,3.11,30.4,3.11,0.98,19,95.76,38.65,57.11,52.86,44.84,1.01,0.71,Class 3: Silty sand to sandy silt
5.05,3.09,30.3,3.09,0.98,19,95.95,38.75,57.2,52.36,44.48,1.01,0.71,Class 3: Silty sand to sandy silt
5.06,3.55,4,7.38,0.05,19,96.14,49.64,46.5,156.53,100.64,0.05,0.43,Class 2: Sand to silty sand
5.06,3.07,30,3.08,0.98,19,96.14,38.85,57.29,52.01,44.21,1.01,0.71,Class 3: Silty sand to sandy silt
5.07,3.06,29.7,3.06,0.97,19,96.33,38.95,57.38,51.68,43.96,1,0.72,Class 3: Silty sand to sandy silt
5.07,0.81,5.9,0.81,0.73,19,96.33,49.74,46.59,15.27,13.72,0.83,0.86,Class 4: Clayey silt to silty clay
5.08,3.55,2,7.44,0.04,19,96.52,49.83,46.69,157.3,101.37,0.05,0.43,Class 2: Sand to silty sand
5.08,3.05,28.8,3.06,0.94,19,96.52,39.04,57.48,51.48,43.76,0.97,0.71,Class 3: Silty sand to sandy silt
5.08,0.3,20.3,0.3,6.77,19,96.52,49.83,46.69,4.37,4.37,9.98,1,Class 6: Organic soil / peat
5.09,3.05,28.2,3.06,0.92,19,96.71,39.14,57.57,51.4,43.67,0.95,0.71,Class 3: Silty sand to sandy silt
5.09,0.29,20.4,0.29,6.89,19,96.71,49.93,46.78,4.24,4.24,10.26,1,Class 6: Organic soil / peat
5.1,3.7,4,7.54,0.04,19,96.9,50.03,46.87,158.77,102.56,0.04,0.43,Class 2: Sand to silty sand
5.1,3.05,27.6,3.06,0.9,19,96.9,39.24,57.66,51.32,43.59,0.93,0.71,Class 3: Silty sand to sandy silt
5.1,0.29,20.3,0.29,6.95,19,96.9,50.03,46.87,4.18,4.18,10.39,1,Class 6: Organic soil / peat
5.11,3.08,27.8,3.08,0.9,19,97.09,39.34,57.75,51.71,43.91,0.93,0.71,Class 3: Silty sand to sandy silt
5.11,0.29,20.3,0.3,6.84,19,97.09,50.13,46.96,4.24,4.24,10.18,1,Class 6: Organic soil / peat
